UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,North LMP,Hub average LMP
2023-07-01 05:15:00,2023-07-01 00:00:00,2023-07-01 00:15:00,2023-07-01,1,24.88,25.15,24.83
2023-07-01 05:30:00,2023-07-01 00:15:00,2023-07-01 00:30:00,2023-07-01,1,24.57,24.82,24.53
2023-07-01 05:45:00,2023-07-01 00:30:00,2023-07-01 00:45:00,2023-07-01,1,23.94,24.07,23.92
2023-07-01 06:00:00,2023-07-01 00:45:00,2023-07-01 01:00:00,2023-07-01,1,19.89,19.93,19.88
2023-07-01 06:15:00,2023-07-01 01:00:00,2023-07-01 01:15:00,2023-07-01,2,19.34,19.36,19.34
2023-07-01 06:30:00,2023-07-01 01:15:00,2023-07-01 01:30:00,2023-07-01,2,20.04,20.04,20.04
2023-07-01 06:45:00,2023-07-01 01:30:00,2023-07-01 01:45:00,2023-07-01,2,20.25,20.25,20.25
2023-07-01 07:00:00,2023-07-01 01:45:00,2023-07-01 02:00:00,2023-07-01,2,22.5,22.5,22.5
2023-07-01 07:15:00,2023-07-01 02:00:00,2023-07-01 02:15:00,2023-07-01,3,23.1,23.1,23.1
2023-07-01 07:30:00,2023-07-01 02:15:00,2023-07-01 02:30:00,2023-07-01,3,21.56,21.56,21.56
2023-07-01 07:45:00,2023-07-01 02:30:00,2023-07-01 02:45:00,2023-07-01,3,22.12,22.12,22.12
2023-07-01 08:00:00,2023-07-01 02:45:00,2023-07-01 03:00:00,2023-07-01,3,21.99,21.99,21.99
2023-07-01 08:15:00,2023-07-01 03:00:00,2023-07-01 03:15:00,2023-07-01,4,22.02,22.02,22.02
2023-07-01 08:30:00,2023-07-01 03:15:00,2023-07-01 03:30:00,2023-07-01,4,21.77,21.77,21.77
2023-07-01 08:45:00,2023-07-01 03:30:00,2023-07-01 03:45:00,2023-07-01,4,20.5,20.5,20.5
2023-07-01 09:00:00,2023-07-01 03:45:00,2023-07-01 04:00:00,2023-07-01,4,20.26,20.26,20.26
2023-07-01 09:15:00,2023-07-01 04:00:00,2023-07-01 04:15:00,2023-07-01,5,20.12,20.12,20.12
2023-07-01 09:30:00,2023-07-01 04:15:00,2023-07-01 04:30:00,2023-07-01,5,19.66,19.66,19.66
2023-07-01 09:45:00,2023-07-01 04:30:00,2023-07-01 04:45:00,2023-07-01,5,19.37,19.37,19.37
2023-07-01 10:00:00,2023-07-01 04:45:00,2023-07-01 05:00:00,2023-07-01,5,19.21,19.21,19.21
2023-07-01 10:15:00,2023-07-01 05:00:00,2023-07-01 05:15:00,2023-07-01,6,19.07,19.07,19.07
2023-07-01 10:30:00,2023-07-01 05:15:00,2023-07-01 05:30:00,2023-07-01,6,18.69,18.69,18.69
2023-07-01 10:45:00,2023-07-01 05:30:00,2023-07-01 05:45:00,2023-07-01,6,18.21,18.21,18.21
2023-07-01 11:00:00,2023-07-01 05:45:00,2023-07-01 06:00:00,2023-07-01,6,17.43,17.43,17.43
2023-07-01 11:15:00,2023-07-01 06:00:00,2023-07-01 06:15:00,2023-07-01,7,16.46,16.46,16.46
2023-07-01 11:30:00,2023-07-01 06:15:00,2023-07-01 06:30:00,2023-07-01,7,16.74,16.74,16.74
2023-07-01 11:45:00,2023-07-01 06:30:00,2023-07-01 06:45:00,2023-07-01,7,17.6,17.6,17.6
2023-07-01 12:00:00,2023-07-01 06:45:00,2023-07-01 07:00:00,2023-07-01,7,17.34,17.34,17.34
2023-07-01 12:15:00,2023-07-01 07:00:00,2023-07-01 07:15:00,2023-07-01,8,17.92,17.92,17.92
2023-07-01 12:30:00,2023-07-01 07:15:00,2023-07-01 07:30:00,2023-07-01,8,18.73,18.73,18.73
2023-07-01 12:45:00,2023-07-01 07:30:00,2023-07-01 07:45:00,2023-07-01,8,18.79,18.79,18.79
2023-07-01 13:00:00,2023-07-01 07:45:00,2023-07-01 08:00:00,2023-07-01,8,18.76,18.76,18.76
2023-07-01 13:15:00,2023-07-01 08:00:00,2023-07-01 08:15:00,2023-07-01,9,19.02,19.02,19.02
2023-07-01 13:30:00,2023-07-01 08:15:00,2023-07-01 08:30:00,2023-07-01,9,18.49,18.49,18.49
2023-07-01 13:45:00,2023-07-01 08:30:00,2023-07-01 08:45:00,2023-07-01,9,18.44,18.44,18.44
2023-07-01 14:00:00,2023-07-01 08:45:00,2023-07-01 09:00:00,2023-07-01,9,18.28,18.45,18.25
2023-07-01 14:15:00,2023-07-01 09:00:00,2023-07-01 09:15:00,2023-07-01,10,19.71,20.02,19.67
2023-07-01 14:30:00,2023-07-01 09:15:00,2023-07-01 09:30:00,2023-07-01,10,18.79,19.21,18.73
2023-07-01 14:45:00,2023-07-01 09:30:00,2023-07-01 09:45:00,2023-07-01,10,20.47,21.01,20.39
2023-07-01 15:00:00,2023-07-01 09:45:00,2023-07-01 10:00:00,2023-07-01,10,18.75,19.19,18.69
2023-07-01 15:15:00,2023-07-01 10:00:00,2023-07-01 10:15:00,2023-07-01,11,19.55,19.95,19.5
2023-07-01 15:30:00,2023-07-01 10:15:00,2023-07-01 10:30:00,2023-07-01,11,19.63,19.98,19.59
2023-07-01 15:45:00,2023-07-01 10:30:00,2023-07-01 10:45:00,2023-07-01,11,20.61,20.92,20.57
2023-07-01 16:00:00,2023-07-01 10:45:00,2023-07-01 11:00:00,2023-07-01,11,20.06,20.12,20.09
2023-07-01 16:15:00,2023-07-01 11:00:00,2023-07-01 11:15:00,2023-07-01,12,20.0,19.59,20.28
2023-07-01 16:30:00,2023-07-01 11:15:00,2023-07-01 11:30:00,2023-07-01,12,20.82,20.28,21.16
2023-07-01 16:45:00,2023-07-01 11:30:00,2023-07-01 11:45:00,2023-07-01,12,22.27,21.86,22.53
2023-07-01 17:00:00,2023-07-01 11:45:00,2023-07-01 12:00:00,2023-07-01,12,22.58,22.22,22.8
2023-07-01 17:15:00,2023-07-01 12:00:00,2023-07-01 12:15:00,2023-07-01,13,20.7,20.12,21.11
2023-07-01 17:30:00,2023-07-01 12:15:00,2023-07-01 12:30:00,2023-07-01,13,20.41,20.16,20.66
2023-07-01 17:45:00,2023-07-01 12:30:00,2023-07-01 12:45:00,2023-07-01,13,20.57,20.76,20.62
2023-07-01 18:00:00,2023-07-01 12:45:00,2023-07-01 13:00:00,2023-07-01,13,20.68,20.75,20.8
2023-07-01 18:15:00,2023-07-01 13:00:00,2023-07-01 13:15:00,2023-07-01,14,20.11,19.66,20.47
2023-07-01 18:30:00,2023-07-01 13:15:00,2023-07-01 13:30:00,2023-07-01,14,20.64,20.1,21.03
2023-07-01 18:45:00,2023-07-01 13:30:00,2023-07-01 13:45:00,2023-07-01,14,22.37,21.65,22.76
2023-07-01 19:00:00,2023-07-01 13:45:00,2023-07-01 14:00:00,2023-07-01,14,23.51,22.85,23.83
2023-07-01 19:15:00,2023-07-01 14:00:00,2023-07-01 14:15:00,2023-07-01,15,23.36,22.8,23.63
2023-07-01 19:30:00,2023-07-01 14:15:00,2023-07-01 14:30:00,2023-07-01,15,23.97,23.12,24.41
2023-07-01 19:45:00,2023-07-01 14:30:00,2023-07-01 14:45:00,2023-07-01,15,23.92,23.05,24.35
2023-07-01 20:00:00,2023-07-01 14:45:00,2023-07-01 15:00:00,2023-07-01,15,23.19,22.32,23.61
2023-07-01 20:15:00,2023-07-01 15:00:00,2023-07-01 15:15:00,2023-07-01,16,22.82,21.51,23.43
2023-07-01 20:30:00,2023-07-01 15:15:00,2023-07-01 15:30:00,2023-07-01,16,24.17,22.03,25.16
2023-07-01 20:45:00,2023-07-01 15:30:00,2023-07-01 15:45:00,2023-07-01,16,26.61,23.36,28.72
2023-07-01 21:00:00,2023-07-01 15:45:00,2023-07-01 16:00:00,2023-07-01,16,29.93,24.72,33.35
2023-07-01 21:15:00,2023-07-01 16:00:00,2023-07-01 16:15:00,2023-07-01,17,26.52,21.64,29.74
2023-07-01 21:30:00,2023-07-01 16:15:00,2023-07-01 16:30:00,2023-07-01,17,25.58,20.67,28.73
