UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,North LMP,Hub average LMP
2022-04-01 05:15:00,2022-04-01 00:00:00,2022-04-01 00:15:00,2022-04-01,1,35.94,35.94,35.94
2022-04-01 05:30:00,2022-04-01 00:15:00,2022-04-01 00:30:00,2022-04-01,1,41.82,41.82,41.82
2022-04-01 05:45:00,2022-04-01 00:30:00,2022-04-01 00:45:00,2022-04-01,1,33.16,33.16,33.16
2022-04-01 06:00:00,2022-04-01 00:45:00,2022-04-01 01:00:00,2022-04-01,1,32.26,32.26,32.26
2022-04-01 06:15:00,2022-04-01 01:00:00,2022-04-01 01:15:00,2022-04-01,2,33.37,33.37,33.37
2022-04-01 06:30:00,2022-04-01 01:15:00,2022-04-01 01:30:00,2022-04-01,2,33.69,33.69,33.69
2022-04-01 06:45:00,2022-04-01 01:30:00,2022-04-01 01:45:00,2022-04-01,2,27.81,27.81,27.81
2022-04-01 07:00:00,2022-04-01 01:45:00,2022-04-01 02:00:00,2022-04-01,2,27.75,25.53,29.4
2022-04-01 07:15:00,2022-04-01 02:00:00,2022-04-01 02:15:00,2022-04-01,3,29.27,26.99,30.96
2022-04-01 07:30:00,2022-04-01 02:15:00,2022-04-01 02:30:00,2022-04-01,3,25.99,25.96,26.02
2022-04-01 07:45:00,2022-04-01 02:30:00,2022-04-01 02:45:00,2022-04-01,3,25.39,24.99,25.43
2022-04-01 08:00:00,2022-04-01 02:45:00,2022-04-01 03:00:00,2022-04-01,3,24.51,23.75,24.6
2022-04-01 08:15:00,2022-04-01 03:00:00,2022-04-01 03:15:00,2022-04-01,4,23.54,23.51,23.14
2022-04-01 08:30:00,2022-04-01 03:15:00,2022-04-01 03:30:00,2022-04-01,4,21.67,23.07,20.4
2022-04-01 08:45:00,2022-04-01 03:30:00,2022-04-01 03:45:00,2022-04-01,4,22.8,24.18,21.54
2022-04-01 09:00:00,2022-04-01 03:45:00,2022-04-01 04:00:00,2022-04-01,4,21.65,23.1,20.36
2022-04-01 09:15:00,2022-04-01 04:00:00,2022-04-01 04:15:00,2022-04-01,5,23.37,24.62,22.11
2022-04-01 09:30:00,2022-04-01 04:15:00,2022-04-01 04:30:00,2022-04-01,5,20.69,22.88,18.89
2022-04-01 09:45:00,2022-04-01 04:30:00,2022-04-01 04:45:00,2022-04-01,5,20.37,22.81,18.4
2022-04-01 10:00:00,2022-04-01 04:45:00,2022-04-01 05:00:00,2022-04-01,5,21.31,23.93,19.2
2022-04-01 10:15:00,2022-04-01 05:00:00,2022-04-01 05:15:00,2022-04-01,6,28.71,31.23,26.31
2022-04-01 10:30:00,2022-04-01 05:15:00,2022-04-01 05:30:00,2022-04-01,6,29.67,33.14,26.78
2022-04-01 10:45:00,2022-04-01 05:30:00,2022-04-01 05:45:00,2022-04-01,6,35.5,40.05,31.95
2022-04-01 11:00:00,2022-04-01 05:45:00,2022-04-01 06:00:00,2022-04-01,6,38.29,43.18,34.47
2022-04-01 11:15:00,2022-04-01 06:00:00,2022-04-01 06:15:00,2022-04-01,7,49.05,55.19,44.32
2022-04-01 11:30:00,2022-04-01 06:15:00,2022-04-01 06:30:00,2022-04-01,7,57.96,64.84,52.67
2022-04-01 11:45:00,2022-04-01 06:30:00,2022-04-01 06:45:00,2022-04-01,7,70.24,78.68,63.8
2022-04-01 12:00:00,2022-04-01 06:45:00,2022-04-01 07:00:00,2022-04-01,7,84.63,94.0,77.48
2022-04-01 12:15:00,2022-04-01 07:00:00,2022-04-01 07:15:00,2022-04-01,8,73.56,81.97,67.15
2022-04-01 12:30:00,2022-04-01 07:15:00,2022-04-01 07:30:00,2022-04-01,8,49.89,56.58,44.79
2022-04-01 12:45:00,2022-04-01 07:30:00,2022-04-01 07:45:00,2022-04-01,8,45.23,51.36,40.54
2022-04-01 13:00:00,2022-04-01 07:45:00,2022-04-01 08:00:00,2022-04-01,8,41.08,46.8,36.63
2022-04-01 13:15:00,2022-04-01 08:00:00,2022-04-01 08:15:00,2022-04-01,9,43.52,50.02,37.89
2022-04-01 13:30:00,2022-04-01 08:15:00,2022-04-01 08:30:00,2022-04-01,9,40.09,40.47,36.91
2022-04-01 13:45:00,2022-04-01 08:30:00,2022-04-01 08:45:00,2022-04-01,9,39.09,45.1,33.64
2022-04-01 14:00:00,2022-04-01 08:45:00,2022-04-01 09:00:00,2022-04-01,9,40.18,46.44,34.69
2022-04-01 14:15:00,2022-04-01 09:00:00,2022-04-01 09:15:00,2022-04-01,10,56.62,62.69,50.18
2022-04-01 14:30:00,2022-04-01 09:15:00,2022-04-01 09:30:00,2022-04-01,10,28.89,27.31,27.5
2022-04-01 14:45:00,2022-04-01 09:30:00,2022-04-01 09:45:00,2022-04-01,10,29.13,27.57,27.66
2022-04-01 15:00:00,2022-04-01 09:45:00,2022-04-01 10:00:00,2022-04-01,10,31.9,34.11,28.17
2022-04-01 15:15:00,2022-04-01 10:00:00,2022-04-01 10:15:00,2022-04-01,11,25.17,27.62,21.91
2022-04-01 15:30:00,2022-04-01 10:15:00,2022-04-01 10:30:00,2022-04-01,11,22.49,24.9,19.42
2022-04-01 15:45:00,2022-04-01 10:30:00,2022-04-01 10:45:00,2022-04-01,11,19.29,21.61,16.44
2022-04-01 16:00:00,2022-04-01 10:45:00,2022-04-01 11:00:00,2022-04-01,11,20.59,23.23,17.43
2022-04-01 16:15:00,2022-04-01 11:00:00,2022-04-01 11:15:00,2022-04-01,12,20.53,23.03,17.45
2022-04-01 16:30:00,2022-04-01 11:15:00,2022-04-01 11:30:00,2022-04-01,12,18.5,20.89,15.63
2022-04-01 16:45:00,2022-04-01 11:30:00,2022-04-01 11:45:00,2022-04-01,12,20.62,23.3,17.44
2022-04-01 17:00:00,2022-04-01 11:45:00,2022-04-01 12:00:00,2022-04-01,12,20.27,22.85,17.16
2022-04-01 17:15:00,2022-04-01 12:00:00,2022-04-01 12:15:00,2022-04-01,13,21.36,24.13,18.04
2022-04-01 17:30:00,2022-04-01 12:15:00,2022-04-01 12:30:00,2022-04-01,13,20.65,23.4,17.39
2022-04-01 17:45:00,2022-04-01 12:30:00,2022-04-01 12:45:00,2022-04-01,13,19.6,22.37,16.34
2022-04-01 18:00:00,2022-04-01 12:45:00,2022-04-01 13:00:00,2022-04-01,13,20.43,23.4,17.0
2022-04-01 18:15:00,2022-04-01 13:00:00,2022-04-01 13:15:00,2022-04-01,14,19.44,22.57,16.05
2022-04-01 18:30:00,2022-04-01 13:15:00,2022-04-01 13:30:00,2022-04-01,14,20.94,24.43,17.28
2022-04-01 18:45:00,2022-04-01 13:30:00,2022-04-01 13:45:00,2022-04-01,14,20.18,23.43,16.7
2022-04-01 19:00:00,2022-04-01 13:45:00,2022-04-01 14:00:00,2022-04-01,14,20.07,23.39,16.56
2022-04-01 19:15:00,2022-04-01 14:00:00,2022-04-01 14:15:00,2022-04-01,15,19.99,23.34,16.47
2022-04-01 19:30:00,2022-04-01 14:15:00,2022-04-01 14:30:00,2022-04-01,15,21.28,24.78,17.59
2022-04-01 19:45:00,2022-04-01 14:30:00,2022-04-01 14:45:00,2022-04-01,15,20.5,23.83,16.95
2022-04-01 20:00:00,2022-04-01 14:45:00,2022-04-01 15:00:00,2022-04-01,15,20.17,23.41,16.69
2022-04-01 20:15:00,2022-04-01 15:00:00,2022-04-01 15:15:00,2022-04-01,16,20.45,23.76,16.93
2022-04-01 20:30:00,2022-04-01 15:15:00,2022-04-01 15:30:00,2022-04-01,16,20.2,23.43,16.72
2022-04-01 20:45:00,2022-04-01 15:30:00,2022-04-01 15:45:00,2022-04-01,16,20.37,23.42,16.96
2022-04-01 21:00:00,2022-04-01 15:45:00,2022-04-01 16:00:00,2022-04-01,16,19.74,22.53,16.55
2022-04-01 21:15:00,2022-04-01 16:00:00,2022-04-01 16:15:00,2022-04-01,17,19.98,23.23,16.79
2022-04-01 21:30:00,2022-04-01 16:15:00,2022-04-01 16:30:00,2022-04-01,17,20.16,23.32,16.94
2022-04-01 21:45:00,2022-04-01 16:30:00,2022-04-01 16:45:00,2022-04-01,17,21.55,24.32,18.43
2022-04-01 22:00:00,2022-04-01 16:45:00,2022-04-01 17:00:00,2022-04-01,17,22.68,24.54,19.97
2022-04-01 22:15:00,2022-04-01 17:00:00,2022-04-01 17:15:00,2022-04-01,18,19.35,20.71,17.2
2022-04-01 22:30:00,2022-04-01 17:15:00,2022-04-01 17:30:00,2022-04-01,18,17.32,18.65,15.23
2022-04-01 22:45:00,2022-04-01 17:30:00,2022-04-01 17:45:00,2022-04-01,18,20.58,22.02,18.18
2022-04-01 23:00:00,2022-04-01 17:45:00,2022-04-01 18:00:00,2022-04-01,18,10.24,10.09,9.39
2022-04-01 23:15:00,2022-04-01 18:00:00,2022-04-01 18:15:00,2022-04-01,19,7.91,7.36,7.42
2022-04-01 23:30:00,2022-04-01 18:15:00,2022-04-01 18:30:00,2022-04-01,19,14.24,14.48,13.06
2022-04-01 23:45:00,2022-04-01 18:30:00,2022-04-01 18:45:00,2022-04-01,19,17.15,17.92,15.43
2022-04-02 00:00:00,2022-04-01 18:45:00,2022-04-01 19:00:00,2022-04-01,19,15.2,16.39,13.52
2022-04-02 00:15:00,2022-04-01 19:00:00,2022-04-01 19:15:00,2022-04-01,20,14.4,14.34,13.52
2022-04-02 00:30:00,2022-04-01 19:15:00,2022-04-01 19:30:00,2022-04-01,20,16.9,15.81,16.79
2022-04-02 00:45:00,2022-04-01 19:30:00,2022-04-01 19:45:00,2022-04-01,20,25.34,24.98,25.68
2022-04-02 01:00:00,2022-04-01 19:45:00,2022-04-01 20:00:00,2022-04-01,20,32.97,32.9,33.34
2022-04-02 01:15:00,2022-04-01 20:00:00,2022-04-01 20:15:00,2022-04-01,21,34.01,33.85,34.38
2022-04-02 01:30:00,2022-04-01 20:15:00,2022-04-01 20:30:00,2022-04-01,21,29.98,29.76,30.34
2022-04-02 01:45:00,2022-04-01 20:30:00,2022-04-01 20:45:00,2022-04-01,21,27.72,27.34,28.1
2022-04-02 02:00:00,2022-04-01 20:45:00,2022-04-01 21:00:00,2022-04-01,21,26.6,26.15,26.99
2022-04-02 02:15:00,2022-04-01 21:00:00,2022-04-01 21:15:00,2022-04-01,22,27.21,26.87,27.56
2022-04-02 02:30:00,2022-04-01 21:15:00,2022-04-01 21:30:00,2022-04-01,22,27.45,27.23,27.77
2022-04-02 02:45:00,2022-04-01 21:30:00,2022-04-01 21:45:00,2022-04-01,22,29.17,29.05,29.52
2022-04-02 03:00:00,2022-04-01 21:45:00,2022-04-01 22:00:00,2022-04-01,22,24.81,24.78,25.09
2022-04-02 03:15:00,2022-04-01 22:00:00,2022-04-01 22:15:00,2022-04-01,23,28.7,28.42,29.0
2022-04-02 03:30:00,2022-04-01 22:15:00,2022-04-01 22:30:00,2022-04-01,23,29.46,28.82,29.83
2022-04-02 03:45:00,2022-04-01 22:30:00,2022-04-01 22:45:00,2022-04-01,23,30.22,29.45,30.61
2022-04-02 04:00:00,2022-04-01 22:45:00,2022-04-01 23:00:00,2022-04-01,23,32.2,31.61,32.58
2022-04-02 04:15:00,2022-04-01 23:00:00,2022-04-01 23:15:00,2022-04-01,24,29.33,29.22,29.61
2022-04-02 04:30:00,2022-04-01 23:15:00,2022-04-01 23:30:00,2022-04-01,24,32.04,32.05,32.28
