UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,North LMP,Hub average LMP
2023-04-01 05:15:00,2023-04-01 00:00:00,2023-04-01 00:15:00,2023-04-01,1,16.88,10.46,21.55
2023-04-01 05:30:00,2023-04-01 00:15:00,2023-04-01 00:30:00,2023-04-01,1,16.14,9.36,21.07
2023-04-01 05:45:00,2023-04-01 00:30:00,2023-04-01 00:45:00,2023-04-01,1,17.3,9.3,23.13
2023-04-01 06:00:00,2023-04-01 00:45:00,2023-04-01 01:00:00,2023-04-01,1,16.31,8.7,21.81
2023-04-01 06:15:00,2023-04-01 01:00:00,2023-04-01 01:15:00,2023-04-01,2,21.89,10.15,30.42
2023-04-01 06:30:00,2023-04-01 01:15:00,2023-04-01 01:30:00,2023-04-01,2,18.63,10.08,24.79
2023-04-01 06:45:00,2023-04-01 01:30:00,2023-04-01 01:45:00,2023-04-01,2,18.12,9.98,23.98
2023-04-01 07:00:00,2023-04-01 01:45:00,2023-04-01 02:00:00,2023-04-01,2,19.19,8.74,26.78
2023-04-01 07:15:00,2023-04-01 02:00:00,2023-04-01 02:15:00,2023-04-01,3,22.73,8.63,33.0
2023-04-01 07:30:00,2023-04-01 02:15:00,2023-04-01 02:30:00,2023-04-01,3,17.67,7.95,24.71
2023-04-01 07:45:00,2023-04-01 02:30:00,2023-04-01 02:45:00,2023-04-01,3,18.13,7.9,25.56
2023-04-01 08:00:00,2023-04-01 02:45:00,2023-04-01 03:00:00,2023-04-01,3,17.53,7.9,24.58
2023-04-01 08:15:00,2023-04-01 03:00:00,2023-04-01 03:15:00,2023-04-01,4,21.58,7.82,31.72
2023-04-01 08:30:00,2023-04-01 03:15:00,2023-04-01 03:30:00,2023-04-01,4,17.84,7.15,25.72
2023-04-01 08:45:00,2023-04-01 03:30:00,2023-04-01 03:45:00,2023-04-01,4,17.69,6.38,26.03
2023-04-01 09:00:00,2023-04-01 03:45:00,2023-04-01 04:00:00,2023-04-01,4,15.55,6.99,21.85
2023-04-01 09:15:00,2023-04-01 04:00:00,2023-04-01 04:15:00,2023-04-01,5,15.79,7.62,21.82
2023-04-01 09:30:00,2023-04-01 04:15:00,2023-04-01 04:30:00,2023-04-01,5,15.16,8.01,20.43
2023-04-01 09:45:00,2023-04-01 04:30:00,2023-04-01 04:45:00,2023-04-01,5,15.59,7.79,21.34
2023-04-01 10:00:00,2023-04-01 04:45:00,2023-04-01 05:00:00,2023-04-01,5,14.44,8.8,18.59
2023-04-01 10:15:00,2023-04-01 05:00:00,2023-04-01 05:15:00,2023-04-01,6,15.45,8.65,20.47
2023-04-01 10:30:00,2023-04-01 05:15:00,2023-04-01 05:30:00,2023-04-01,6,17.95,8.72,24.75
