UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,North LMP,Hub average LMP
2024-07-01 05:15:00,2024-07-01 00:00:00,2024-07-01 00:15:00,2024-07-01,1,22.09,21.98,22.09
2024-07-01 05:30:00,2024-07-01 00:15:00,2024-07-01 00:30:00,2024-07-01,1,22.15,22.05,22.15
2024-07-01 05:45:00,2024-07-01 00:30:00,2024-07-01 00:45:00,2024-07-01,1,20.54,20.47,20.54
2024-07-01 06:00:00,2024-07-01 00:45:00,2024-07-01 01:00:00,2024-07-01,1,20.35,20.35,20.35
2024-07-01 06:15:00,2024-07-01 01:00:00,2024-07-01 01:15:00,2024-07-01,2,21.27,21.27,21.27
2024-07-01 06:30:00,2024-07-01 01:15:00,2024-07-01 01:30:00,2024-07-01,2,20.79,20.79,20.79
2024-07-01 06:45:00,2024-07-01 01:30:00,2024-07-01 01:45:00,2024-07-01,2,20.79,20.79,20.79
2024-07-01 07:00:00,2024-07-01 01:45:00,2024-07-01 02:00:00,2024-07-01,2,20.34,20.34,20.34
2024-07-01 07:15:00,2024-07-01 02:00:00,2024-07-01 02:15:00,2024-07-01,3,20.15,20.15,20.15
2024-07-01 07:30:00,2024-07-01 02:15:00,2024-07-01 02:30:00,2024-07-01,3,19.44,19.44,19.44
2024-07-01 07:45:00,2024-07-01 02:30:00,2024-07-01 02:45:00,2024-07-01,3,19.32,19.32,19.32
2024-07-01 08:00:00,2024-07-01 02:45:00,2024-07-01 03:00:00,2024-07-01,3,18.98,18.98,18.98
2024-07-01 08:15:00,2024-07-01 03:00:00,2024-07-01 03:15:00,2024-07-01,4,19.37,19.37,19.37
2024-07-01 08:30:00,2024-07-01 03:15:00,2024-07-01 03:30:00,2024-07-01,4,19.03,19.03,19.03
2024-07-01 08:45:00,2024-07-01 03:30:00,2024-07-01 03:45:00,2024-07-01,4,18.89,18.89,18.89
2024-07-01 09:00:00,2024-07-01 03:45:00,2024-07-01 04:00:00,2024-07-01,4,18.94,18.94,18.94
2024-07-01 09:15:00,2024-07-01 04:00:00,2024-07-01 04:15:00,2024-07-01,5,19.38,19.38,19.38
2024-07-01 09:30:00,2024-07-01 04:15:00,2024-07-01 04:30:00,2024-07-01,5,19.39,19.39,19.39
2024-07-01 09:45:00,2024-07-01 04:30:00,2024-07-01 04:45:00,2024-07-01,5,19.6,19.6,19.6
2024-07-01 10:00:00,2024-07-01 04:45:00,2024-07-01 05:00:00,2024-07-01,5,19.9,19.9,19.9
2024-07-01 10:15:00,2024-07-01 05:00:00,2024-07-01 05:15:00,2024-07-01,6,21.06,21.06,21.06
2024-07-01 10:30:00,2024-07-01 05:15:00,2024-07-01 05:30:00,2024-07-01,6,21.46,21.46,21.46
2024-07-01 10:45:00,2024-07-01 05:30:00,2024-07-01 05:45:00,2024-07-01,6,21.59,21.59,21.59
2024-07-01 11:00:00,2024-07-01 05:45:00,2024-07-01 06:00:00,2024-07-01,6,21.28,21.28,21.28
2024-07-01 11:15:00,2024-07-01 06:00:00,2024-07-01 06:15:00,2024-07-01,7,22.01,22.01,22.01
2024-07-01 11:30:00,2024-07-01 06:15:00,2024-07-01 06:30:00,2024-07-01,7,21.27,21.27,21.27
2024-07-01 11:45:00,2024-07-01 06:30:00,2024-07-01 06:45:00,2024-07-01,7,20.89,20.89,20.89
2024-07-01 12:00:00,2024-07-01 06:45:00,2024-07-01 07:00:00,2024-07-01,7,20.9,20.9,20.9
2024-07-01 12:15:00,2024-07-01 07:00:00,2024-07-01 07:15:00,2024-07-01,8,20.88,20.88,20.88
2024-07-01 12:30:00,2024-07-01 07:15:00,2024-07-01 07:30:00,2024-07-01,8,19.64,19.64,19.64
2024-07-01 12:45:00,2024-07-01 07:30:00,2024-07-01 07:45:00,2024-07-01,8,18.03,18.03,18.03
2024-07-01 13:00:00,2024-07-01 07:45:00,2024-07-01 08:00:00,2024-07-01,8,16.97,16.97,16.97
2024-07-01 13:15:00,2024-07-01 08:00:00,2024-07-01 08:15:00,2024-07-01,9,16.12,16.12,16.12
2024-07-01 13:30:00,2024-07-01 08:15:00,2024-07-01 08:30:00,2024-07-01,9,13.28,13.21,13.28
2024-07-01 13:45:00,2024-07-01 08:30:00,2024-07-01 08:45:00,2024-07-01,9,11.0,10.91,11.0
2024-07-01 14:00:00,2024-07-01 08:45:00,2024-07-01 09:00:00,2024-07-01,9,10.18,9.85,9.63
2024-07-01 14:15:00,2024-07-01 09:00:00,2024-07-01 09:15:00,2024-07-01,10,10.6,10.27,9.91
2024-07-01 14:30:00,2024-07-01 09:15:00,2024-07-01 09:30:00,2024-07-01,10,11.54,11.69,10.54
2024-07-01 14:45:00,2024-07-01 09:30:00,2024-07-01 09:45:00,2024-07-01,10,12.23,12.46,11.16
2024-07-01 15:00:00,2024-07-01 09:45:00,2024-07-01 10:00:00,2024-07-01,10,12.56,12.86,11.44
2024-07-01 15:15:00,2024-07-01 10:00:00,2024-07-01 10:15:00,2024-07-01,11,12.28,12.27,11.38
2024-07-01 15:30:00,2024-07-01 10:15:00,2024-07-01 10:30:00,2024-07-01,11,13.22,13.49,12.06
2024-07-01 15:45:00,2024-07-01 10:30:00,2024-07-01 10:45:00,2024-07-01,11,14.37,13.8,13.81
2024-07-01 16:00:00,2024-07-01 10:45:00,2024-07-01 11:00:00,2024-07-01,11,15.63,15.99,14.62
2024-07-01 16:15:00,2024-07-01 11:00:00,2024-07-01 11:15:00,2024-07-01,12,17.73,18.21,16.72
2024-07-01 16:30:00,2024-07-01 11:15:00,2024-07-01 11:30:00,2024-07-01,12,18.84,19.45,17.73
2024-07-01 16:45:00,2024-07-01 11:30:00,2024-07-01 11:45:00,2024-07-01,12,19.18,19.82,18.06
2024-07-01 17:00:00,2024-07-01 11:45:00,2024-07-01 12:00:00,2024-07-01,12,20.35,21.77,18.72
2024-07-01 17:15:00,2024-07-01 12:00:00,2024-07-01 12:15:00,2024-07-01,13,20.54,22.42,18.69
2024-07-01 17:30:00,2024-07-01 12:15:00,2024-07-01 12:30:00,2024-07-01,13,20.4,22.84,18.16
2024-07-01 17:45:00,2024-07-01 12:30:00,2024-07-01 12:45:00,2024-07-01,13,22.55,24.07,20.55
2024-07-01 18:00:00,2024-07-01 12:45:00,2024-07-01 13:00:00,2024-07-01,13,22.43,22.18,21.22
2024-07-01 18:15:00,2024-07-01 13:00:00,2024-07-01 13:15:00,2024-07-01,14,21.4,22.08,19.75
2024-07-01 18:30:00,2024-07-01 13:15:00,2024-07-01 13:30:00,2024-07-01,14,21.09,21.58,19.46
2024-07-01 18:45:00,2024-07-01 13:30:00,2024-07-01 13:45:00,2024-07-01,14,21.19,22.5,19.09
2024-07-01 19:00:00,2024-07-01 13:45:00,2024-07-01 14:00:00,2024-07-01,14,20.98,21.95,19.06
2024-07-01 19:15:00,2024-07-01 14:00:00,2024-07-01 14:15:00,2024-07-01,15,25.91,30.69,21.27
2024-07-01 19:30:00,2024-07-01 14:15:00,2024-07-01 14:30:00,2024-07-01,15,20.97,21.74,18.61
2024-07-01 19:45:00,2024-07-01 14:30:00,2024-07-01 14:45:00,2024-07-01,15,24.34,29.27,19.93
2024-07-01 20:00:00,2024-07-01 14:45:00,2024-07-01 15:00:00,2024-07-01,15,23.07,26.19,19.55
2024-07-01 20:15:00,2024-07-01 15:00:00,2024-07-01 15:15:00,2024-07-01,16,21.65,22.62,18.87
2024-07-01 20:30:00,2024-07-01 15:15:00,2024-07-01 15:30:00,2024-07-01,16,21.68,24.24,18.44
