UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,North LMP,Hub average LMP
2024-04-01 05:15:00,2024-04-01 00:00:00,2024-04-01 00:15:00,2024-04-01,1,6.74,6.33,6.57
2024-04-01 05:30:00,2024-04-01 00:15:00,2024-04-01 00:30:00,2024-04-01,1,7.26,6.86,7.12
2024-04-01 05:45:00,2024-04-01 00:30:00,2024-04-01 00:45:00,2024-04-01,1,5.74,5.44,5.68
2024-04-01 06:00:00,2024-04-01 00:45:00,2024-04-01 01:00:00,2024-04-01,1,5.26,4.92,5.17
2024-04-01 06:15:00,2024-04-01 01:00:00,2024-04-01 01:15:00,2024-04-01,2,5.58,5.17,5.5
2024-04-01 06:30:00,2024-04-01 01:15:00,2024-04-01 01:30:00,2024-04-01,2,4.79,4.34,4.71
2024-04-01 06:45:00,2024-04-01 01:30:00,2024-04-01 01:45:00,2024-04-01,2,5.1,4.64,5.02
2024-04-01 07:00:00,2024-04-01 01:45:00,2024-04-01 02:00:00,2024-04-01,2,4.81,4.39,4.72
2024-04-01 07:15:00,2024-04-01 02:00:00,2024-04-01 02:15:00,2024-04-01,3,4.68,4.31,4.59
2024-04-01 07:30:00,2024-04-01 02:15:00,2024-04-01 02:30:00,2024-04-01,3,4.8,4.44,4.74
2024-04-01 07:45:00,2024-04-01 02:30:00,2024-04-01 02:45:00,2024-04-01,3,3.88,3.63,3.83
2024-04-01 08:00:00,2024-04-01 02:45:00,2024-04-01 03:00:00,2024-04-01,3,3.16,3.02,3.04
2024-04-01 08:15:00,2024-04-01 03:00:00,2024-04-01 03:15:00,2024-04-01,4,4.6,4.42,4.45
2024-04-01 08:30:00,2024-04-01 03:15:00,2024-04-01 03:30:00,2024-04-01,4,4.04,4.0,3.91
2024-04-01 08:45:00,2024-04-01 03:30:00,2024-04-01 03:45:00,2024-04-01,4,3.35,3.27,3.3
2024-04-01 09:00:00,2024-04-01 03:45:00,2024-04-01 04:00:00,2024-04-01,4,4.68,4.7,4.64
2024-04-01 09:15:00,2024-04-01 04:00:00,2024-04-01 04:15:00,2024-04-01,5,5.23,5.15,5.22
2024-04-01 09:30:00,2024-04-01 04:15:00,2024-04-01 04:30:00,2024-04-01,5,6.22,6.21,6.22
2024-04-01 09:45:00,2024-04-01 04:30:00,2024-04-01 04:45:00,2024-04-01,5,7.06,6.99,7.06
2024-04-01 10:00:00,2024-04-01 04:45:00,2024-04-01 05:00:00,2024-04-01,5,7.77,7.8,7.76
2024-04-01 10:15:00,2024-04-01 05:00:00,2024-04-01 05:15:00,2024-04-01,6,7.66,7.66,7.64
2024-04-01 10:30:00,2024-04-01 05:15:00,2024-04-01 05:30:00,2024-04-01,6,12.16,12.54,12.1
2024-04-01 10:45:00,2024-04-01 05:30:00,2024-04-01 05:45:00,2024-04-01,6,14.42,14.62,14.39
2024-04-01 11:00:00,2024-04-01 05:45:00,2024-04-01 06:00:00,2024-04-01,6,11.83,12.07,11.79
2024-04-01 11:15:00,2024-04-01 06:00:00,2024-04-01 06:15:00,2024-04-01,7,11.1,11.28,11.05
2024-04-01 11:30:00,2024-04-01 06:15:00,2024-04-01 06:30:00,2024-04-01,7,12.47,12.96,12.36
2024-04-01 11:45:00,2024-04-01 06:30:00,2024-04-01 06:45:00,2024-04-01,7,15.43,16.06,15.3
2024-04-01 12:00:00,2024-04-01 06:45:00,2024-04-01 07:00:00,2024-04-01,7,17.95,18.7,17.8
2024-04-01 12:15:00,2024-04-01 07:00:00,2024-04-01 07:15:00,2024-04-01,8,16.65,17.33,16.52
2024-04-01 12:30:00,2024-04-01 07:15:00,2024-04-01 07:30:00,2024-04-01,8,16.93,17.66,16.79
2024-04-01 12:45:00,2024-04-01 07:30:00,2024-04-01 07:45:00,2024-04-01,8,16.93,17.65,16.78
