UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,North LMP,Hub average LMP
2022-07-01 05:15:00,2022-07-01 00:00:00,2022-07-01 00:15:00,2022-07-01,1,63.46,62.9,63.21
2022-07-01 05:30:00,2022-07-01 00:15:00,2022-07-01 00:30:00,2022-07-01,1,65.18,64.79,65.1
2022-07-01 05:45:00,2022-07-01 00:30:00,2022-07-01 00:45:00,2022-07-01,1,61.92,61.2,61.87
2022-07-01 06:00:00,2022-07-01 00:45:00,2022-07-01 01:00:00,2022-07-01,1,57.81,57.02,57.72
2022-07-01 06:15:00,2022-07-01 01:00:00,2022-07-01 01:15:00,2022-07-01,2,53.67,53.27,53.57
2022-07-01 06:30:00,2022-07-01 01:15:00,2022-07-01 01:30:00,2022-07-01,2,47.04,46.71,46.98
2022-07-01 06:45:00,2022-07-01 01:30:00,2022-07-01 01:45:00,2022-07-01,2,42.81,42.6,42.81
2022-07-01 07:00:00,2022-07-01 01:45:00,2022-07-01 02:00:00,2022-07-01,2,40.23,39.7,40.18
2022-07-01 07:15:00,2022-07-01 02:00:00,2022-07-01 02:15:00,2022-07-01,3,42.32,41.8,42.2
2022-07-01 07:30:00,2022-07-01 02:15:00,2022-07-01 02:30:00,2022-07-01,3,42.25,41.96,42.12
2022-07-01 07:45:00,2022-07-01 02:30:00,2022-07-01 02:45:00,2022-07-01,3,40.05,39.73,39.9
2022-07-01 08:00:00,2022-07-01 02:45:00,2022-07-01 03:00:00,2022-07-01,3,39.72,39.42,39.58
2022-07-01 08:15:00,2022-07-01 03:00:00,2022-07-01 03:15:00,2022-07-01,4,39.28,38.98,39.14
2022-07-01 08:30:00,2022-07-01 03:15:00,2022-07-01 03:30:00,2022-07-01,4,39.16,39.0,39.09
2022-07-01 08:45:00,2022-07-01 03:30:00,2022-07-01 03:45:00,2022-07-01,4,39.49,39.32,39.41
2022-07-01 09:00:00,2022-07-01 03:45:00,2022-07-01 04:00:00,2022-07-01,4,39.66,39.5,39.59
2022-07-01 09:15:00,2022-07-01 04:00:00,2022-07-01 04:15:00,2022-07-01,5,39.87,39.69,39.78
2022-07-01 09:30:00,2022-07-01 04:15:00,2022-07-01 04:30:00,2022-07-01,5,40.01,39.83,39.92
2022-07-01 09:45:00,2022-07-01 04:30:00,2022-07-01 04:45:00,2022-07-01,5,41.65,41.61,41.63
2022-07-01 10:00:00,2022-07-01 04:45:00,2022-07-01 05:00:00,2022-07-01,5,42.28,42.28,42.28
2022-07-01 10:15:00,2022-07-01 05:00:00,2022-07-01 05:15:00,2022-07-01,6,46.81,46.72,46.77
2022-07-01 10:30:00,2022-07-01 05:15:00,2022-07-01 05:30:00,2022-07-01,6,49.3,49.09,49.2
2022-07-01 10:45:00,2022-07-01 05:30:00,2022-07-01 05:45:00,2022-07-01,6,48.4,48.4,48.4
2022-07-01 11:00:00,2022-07-01 05:45:00,2022-07-01 06:00:00,2022-07-01,6,49.83,49.83,49.83
2022-07-01 11:15:00,2022-07-01 06:00:00,2022-07-01 06:15:00,2022-07-01,7,53.86,53.86,53.86
2022-07-01 11:30:00,2022-07-01 06:15:00,2022-07-01 06:30:00,2022-07-01,7,50.8,50.8,50.8
2022-07-01 11:45:00,2022-07-01 06:30:00,2022-07-01 06:45:00,2022-07-01,7,53.1,53.1,53.1
2022-07-01 12:00:00,2022-07-01 06:45:00,2022-07-01 07:00:00,2022-07-01,7,49.52,49.52,49.52
