UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Bus average LMP,North LMP,Hub average LMP
2022-01-01 06:15:00,2022-01-01 00:00:00,2022-01-01 00:15:00,2022-01-01,1,52.77,53.94,52.53
2022-01-01 06:30:00,2022-01-01 00:15:00,2022-01-01 00:30:00,2022-01-01,1,120.8,125.73,119.59
2022-01-01 06:45:00,2022-01-01 00:30:00,2022-01-01 00:45:00,2022-01-01,1,41.02,42.02,40.8
2022-01-01 07:00:00,2022-01-01 00:45:00,2022-01-01 01:00:00,2022-01-01,1,35.0,35.75,34.84
2022-01-01 07:15:00,2022-01-01 01:00:00,2022-01-01 01:15:00,2022-01-01,2,32.1,32.87,31.94
2022-01-01 07:30:00,2022-01-01 01:15:00,2022-01-01 01:30:00,2022-01-01,2,30.9,31.65,30.75
2022-01-01 07:45:00,2022-01-01 01:30:00,2022-01-01 01:45:00,2022-01-01,2,33.25,33.97,33.09
2022-01-01 08:00:00,2022-01-01 01:45:00,2022-01-01 02:00:00,2022-01-01,2,30.48,31.3,30.3
2022-01-01 08:15:00,2022-01-01 02:00:00,2022-01-01 02:15:00,2022-01-01,3,28.98,29.91,28.79
2022-01-01 08:30:00,2022-01-01 02:15:00,2022-01-01 02:30:00,2022-01-01,3,24.31,25.11,24.14
2022-01-01 08:45:00,2022-01-01 02:30:00,2022-01-01 02:45:00,2022-01-01,3,22.88,23.62,22.73
2022-01-01 09:00:00,2022-01-01 02:45:00,2022-01-01 03:00:00,2022-01-01,3,22.74,23.52,22.58
2022-01-01 09:15:00,2022-01-01 03:00:00,2022-01-01 03:15:00,2022-01-01,4,22.75,23.39,22.62
2022-01-01 09:30:00,2022-01-01 03:15:00,2022-01-01 03:30:00,2022-01-01,4,22.11,22.74,21.98
2022-01-01 09:45:00,2022-01-01 03:30:00,2022-01-01 03:45:00,2022-01-01,4,21.63,22.31,21.49
2022-01-01 10:00:00,2022-01-01 03:45:00,2022-01-01 04:00:00,2022-01-01,4,20.56,21.23,20.42
2022-01-01 10:15:00,2022-01-01 04:00:00,2022-01-01 04:15:00,2022-01-01,5,8.21,8.58,8.13
2022-01-01 10:30:00,2022-01-01 04:15:00,2022-01-01 04:30:00,2022-01-01,5,12.67,13.12,12.58
2022-01-01 10:45:00,2022-01-01 04:30:00,2022-01-01 04:45:00,2022-01-01,5,19.75,20.4,19.63
2022-01-01 11:00:00,2022-01-01 04:45:00,2022-01-01 05:00:00,2022-01-01,5,21.03,21.69,20.91
2022-01-01 11:15:00,2022-01-01 05:00:00,2022-01-01 05:15:00,2022-01-01,6,21.46,22.15,21.34
2022-01-01 11:30:00,2022-01-01 05:15:00,2022-01-01 05:30:00,2022-01-01,6,15.08,15.64,14.98
2022-01-01 11:45:00,2022-01-01 05:30:00,2022-01-01 05:45:00,2022-01-01,6,2.17,2.37,2.15
2022-01-01 12:00:00,2022-01-01 05:45:00,2022-01-01 06:00:00,2022-01-01,6,13.68,13.93,13.65
2022-01-01 12:15:00,2022-01-01 06:00:00,2022-01-01 06:15:00,2022-01-01,7,7.29,7.52,7.27
2022-01-01 12:30:00,2022-01-01 06:15:00,2022-01-01 06:30:00,2022-01-01,7,3.81,4.02,3.79
2022-01-01 12:45:00,2022-01-01 06:30:00,2022-01-01 06:45:00,2022-01-01,7,14.4,14.66,14.37
2022-01-01 13:00:00,2022-01-01 06:45:00,2022-01-01 07:00:00,2022-01-01,7,19.45,19.73,19.41
2022-01-01 13:15:00,2022-01-01 07:00:00,2022-01-01 07:15:00,2022-01-01,8,19.4,19.69,19.37
2022-01-01 13:30:00,2022-01-01 07:15:00,2022-01-01 07:30:00,2022-01-01,8,8.84,9.06,8.81
2022-01-01 13:45:00,2022-01-01 07:30:00,2022-01-01 07:45:00,2022-01-01,8,1.78,1.9,1.76
