Local Date,North LMP
2019-12-30,15.578312500000001
2020-01-06,16.484270833333333
2020-01-13,14.942931547619047
2020-01-20,18.473958333333332
2020-01-27,14.638392857142858
2020-02-03,15.379300595238094
2020-02-10,25.593601190476193
2020-02-17,15.92700892857143
2020-02-24,13.222589285714285
2020-03-02,16.189595808383235
2020-03-09,30.657589285714288
2020-03-16,23.709196428571428
2020-03-23,29.98934523809524
2020-03-30,14.515699404761904
2020-04-06,20.44297619047619
2020-04-13,15.340104166666666
2020-04-20,15.190119047619048
2020-04-27,23.509449404761906
2020-05-04,16.11828869047619
2020-05-11,14.512544642857144
2020-05-18,19.499702380952378
2020-05-25,16.06453869047619
2020-06-01,17.743318452380954
2020-06-08,13.615535714285713
2020-06-15,13.898928571428572
2020-06-22,14.809642857142856
2020-06-29,21.72230654761905
2020-07-06,18.866592261904763
2020-07-13,17.888080357142854
2020-07-20,19.16296130952381
2020-07-27,18.027380952380952
2020-08-03,18.700892857142858
2020-08-10,56.84116071428572
2020-08-17,23.423675595238095
2020-08-24,32.542098214285716
2020-08-31,33.84272321428572
2020-09-07,30.326130952380954
2020-09-14,18.841011904761906
2020-09-21,15.039627976190475
2020-09-28,17.925982142857144
2020-10-05,30.595089285714288
2020-10-12,21.357425595238094
2020-10-19,23.988690476190477
2020-10-26,54.51227204783258
2020-11-02,28.483526785714286
2020-11-09,28.341011904761906
2020-11-16,16.451249999999998
2020-11-23,21.93730654761905
2020-11-30,20.234583333333333
2020-12-07,21.569851190476193
2020-12-14,22.394464285714285
2020-12-21,19.851726190476192
2020-12-28,14.945967261904762
2021-01-04,21.012127976190477
2021-01-11,25.09551051051051
2021-01-18,22.009535232383808
2021-01-25,17.55654761904762
2021-02-01,25.088577844311374
2021-02-08,777.0376204819277
2021-02-15,5295.761092814371
2021-02-22,9.949776785714286
2021-03-01,17.5196870342772
2021-03-08,20.488967065868263
2021-03-15,18.655625
2021-03-22,22.715044642857144
2021-03-29,22.419732142857143
2021-04-05,50.087470238095236
2021-04-12,82.40835843373495
2021-04-19,24.518035714285713
2021-04-26,25.099732142857142
2021-05-03,26.543482142857144
2021-05-10,22.31605654761905
2021-05-17,22.36068452380952
2021-05-24,28.311162444113265
2021-05-31,26.358839285714286
2021-06-07,51.224717261904765
2021-06-14,53.03075892857142
2021-06-21,27.628497023809523
2021-06-28,30.90889880952381
2021-07-05,37.992604166666666
2021-07-12,27.703869047619047
2021-07-19,35.10473134328358
2021-07-26,50.98340773809524
2021-08-02,36.80885416666666
2021-08-09,32.55534226190476
2021-08-16,38.977916666666665
2021-08-23,35.34602678571429
2021-08-30,42.59065476190476
2021-09-06,41.95994047619048
2021-09-13,46.71839046199702
2021-09-20,38.3877380952381
2021-09-27,51.9864136904762
2021-10-04,53.741741071428564
2021-10-11,51.15306547619048
2021-10-18,46.57834337349398
2021-10-25,37.470282738095236
2021-11-01,60.98607142857143
2021-11-08,44.85245901639344
2021-11-15,31.09370535714286
2021-11-22,31.75279761904762
2021-11-29,33.476437125748504
2021-12-06,29.358675595238093
2021-12-13,23.59998511904762
2021-12-20,22.82674107142857
2021-12-27,30.79422619047619
2022-01-03,30.90002976190476
2022-01-10,30.660014880952378
2022-01-17,28.349345238095236
2022-01-24,34.917276785714286
2022-01-31,28.515773809523807
2022-02-07,30.731205357142855
2022-02-14,20.262812500000003
2022-02-21,113.32625
2022-02-28,33.12936011904762
2022-03-07,36.236616766467066
2022-03-14,26.163988095238096
2022-03-21,32.57507440476191
2022-03-28,36.81703869047619
2022-04-04,56.549375
2022-04-11,50.59267857142857
2022-04-18,52.354255952380946
2022-04-25,41.84645833333333
2022-05-02,61.267425595238095
2022-05-09,129.72138392857144
2022-05-16,67.76513392857143
2022-05-23,55.83083333333333
2022-05-30,59.25239583333333
2022-06-06,65.79971726190476
2022-06-13,61.04065476190476
2022-06-20,65.75135416666666
2022-06-27,62.88861607142857
2022-07-04,151.10138392857144
2022-07-11,267.6665922619048
2022-07-18,126.90705357142856
2022-07-25,78.50357142857143
2022-08-01,78.06590773809523
2022-08-08,106.83489583333333
2022-08-15,86.76885416666667
2022-08-22,92.40364583333333
2022-08-29,76.54282738095237
2022-09-05,79.26763392857143
2022-09-12,59.26001488095238
2022-09-19,59.03471726190477
2022-09-26,45.28419642857143
2022-10-03,54.73669642857143
2022-10-10,65.42065476190476
2022-10-17,37.306979166666665
2022-10-24,40.08790178571429
2022-10-31,28.241153846153846
2022-11-07,31.399642857142858
2022-11-14,56.237366071428575
2022-11-21,47.64360119047619
2022-11-28,42.67174107142857
2022-12-05,43.847500000000004
2022-12-12,36.147529761904764
2022-12-19,115.08281249999999
2022-12-26,16.607678571428572
2023-01-02,20.47641369047619
2023-01-09,14.438318452380951
2023-01-16,22.746354166666666
2023-01-23,21.105877976190477
2023-01-30,39.366011904761905
2023-02-06,15.821279761904762
2023-02-13,16.294985119047617
2023-02-20,19.583839285714287
2023-02-27,18.547113095238096
2023-03-06,25.273113772455087
2023-03-13,17.06547619047619
2023-03-20,28.27956845238095
2023-03-27,25.36339285714286
2023-04-03,19.360595238095236
2023-04-10,19.622723214285713
2023-04-17,21.164241071428574
2023-04-24,20.358660714285715
2023-05-01,33.6302380952381
2023-05-08,27.55400297619048
2023-05-15,28.24391369047619
2023-05-22,27.0715625
2023-05-29,25.21473214285714
2023-06-05,26.444255952380953
2023-06-12,41.64857142857143
2023-06-19,162.07241071428572
2023-06-26,26.286026785714284
2023-07-03,31.014642857142857
2023-07-10,64.87927083333334
2023-07-17,27.57113095238095
