Local Date,North LMP
2020-01-01,13.846145833333333
2020-01-02,17.545625
2020-01-03,16.335208333333334
2020-01-04,16.023125
2020-01-05,14.141458333333333
2020-01-06,16.14125
2020-01-07,16.78625
2020-01-08,24.780625
2020-01-09,15.988541666666668
2020-01-10,13.391874999999999
2020-01-11,13.241770833333334
2020-01-12,15.059583333333334
2020-01-13,12.448854166666665
2020-01-14,15.9234375
2020-01-15,13.645416666666668
2020-01-16,15.7590625
2020-01-17,18.612916666666667
2020-01-18,12.212916666666667
2020-01-19,15.997916666666667
2020-01-20,16.489895833333332
2020-01-21,15.007291666666667
2020-01-22,28.353020833333332
2020-01-23,14.902708333333335
2020-01-24,23.059270833333333
2020-01-25,14.1078125
2020-01-26,17.397708333333334
2020-01-27,11.395104166666668
2020-01-28,14.7190625
2020-01-29,15.657083333333333
2020-01-30,18.735520833333336
2020-01-31,14.313541666666666
2020-02-01,14.441145833333332
2020-02-02,13.207291666666668
2020-02-03,7.5171874999999995
2020-02-04,15.384270833333334
2020-02-05,21.639062499999998
2020-02-06,22.103229166666665
2020-02-07,17.518229166666668
2020-02-08,13.405625
2020-02-09,10.0875
2020-02-10,59.01947916666666
2020-02-11,20.485625
2020-02-12,20.266979166666665
2020-02-13,16.1209375
2020-02-14,32.61229166666667
2020-02-15,15.902187499999998
2020-02-16,14.747708333333334
2020-02-17,11.979479166666666
2020-02-18,12.049895833333332
2020-02-19,20.299895833333334
2020-02-20,12.585833333333333
2020-02-21,19.1828125
2020-02-22,16.073541666666667
2020-02-23,19.317604166666666
2020-02-24,14.754270833333335
2020-02-25,11.942187500000001
2020-02-26,14.820625
2020-02-27,14.420625000000001
2020-02-28,17.030416666666667
2020-02-29,10.138958333333333
2020-03-01,9.451041666666667
2020-03-02,25.17895833333333
2020-03-03,17.02375
2020-03-04,16.376562500000002
2020-03-05,13.1978125
2020-03-06,13.615520833333333
2020-03-07,12.956041666666666
2020-03-08,14.925869565217392
2020-03-09,16.730833333333333
2020-03-10,15.321562499999999
2020-03-11,24.458125
2020-03-12,48.46697916666667
2020-03-13,46.162187499999995
2020-03-14,26.0434375
2020-03-15,37.42
2020-03-16,37.09385416666667
2020-03-17,39.66979166666666
2020-03-18,20.4921875
2020-03-19,16.5678125
2020-03-20,15.240729166666666
2020-03-21,18.8790625
2020-03-22,18.0209375
2020-03-23,31.760625
2020-03-24,88.26572916666667
2020-03-25,14.540520833333334
2020-03-26,17.588333333333335
2020-03-27,31.333645833333335
2020-03-28,10.795208333333333
2020-03-29,15.641354166666666
2020-03-30,21.0946875
2020-03-31,19.137083333333333
2020-04-01,6.379375
2020-04-02,9.736458333333333
2020-04-03,14.304791666666667
2020-04-04,17.97760416666667
2020-04-05,12.979895833333332
2020-04-06,11.036979166666667
2020-04-07,14.8028125
2020-04-08,38.1621875
2020-04-09,34.87385416666667
2020-04-10,14.133020833333333
2020-04-11,14.379791666666668
2020-04-12,15.712187499999999
2020-04-13,12.172083333333333
2020-04-14,17.0440625
2020-04-15,13.915729166666667
2020-04-16,8.035
2020-04-17,11.419375
2020-04-18,18.069166666666668
2020-04-19,26.7253125
2020-04-20,19.720208333333336
2020-04-21,19.589375
2020-04-22,15.813854166666667
2020-04-23,17.5090625
2020-04-24,9.660833333333334
2020-04-25,15.196458333333332
2020-04-26,8.841041666666667
2020-04-27,84.47281249999999
2020-04-28,14.3265625
2020-04-29,14.964270833333332
2020-04-30,13.998125
2020-05-01,9.321770833333334
2020-05-02,12.652187499999998
2020-05-03,14.830416666666666
2020-05-04,15.568854166666666
2020-05-05,13.305
2020-05-06,15.366145833333334
2020-05-07,12.9209375
2020-05-08,15.767395833333333
2020-05-09,15.026354166666666
2020-05-10,24.873333333333335
2020-05-11,14.999583333333334
2020-05-12,18.70375
2020-05-13,12.013125
2020-05-14,16.030833333333334
2020-05-15,12.805104166666666
2020-05-16,12.3365625
2020-05-17,14.698854166666665
2020-05-18,12.781041666666667
2020-05-19,23.608125
2020-05-20,16.14260416666667
2020-05-21,16.07614583333333
2020-05-22,41.136041666666664
2020-05-23,13.6396875
2020-05-24,13.114270833333334
2020-05-25,13.116354166666667
2020-05-26,20.9559375
2020-05-27,15.110520833333332
2020-05-28,14.000729166666666
2020-05-29,17.128333333333334
2020-05-30,15.846666666666666
2020-05-31,16.293229166666666
2020-06-01,15.488229166666668
2020-06-02,16.515416666666667
2020-06-03,16.240937499999998
2020-06-04,18.775833333333335
2020-06-05,18.350520833333334
2020-06-06,23.4015625
2020-06-07,15.430729166666666
2020-06-08,15.9009375
2020-06-09,14.236666666666666
2020-06-10,14.35125
2020-06-11,9.426145833333333
2020-06-12,14.108958333333334
2020-06-13,13.80625
2020-06-14,13.478541666666667
2020-06-15,15.808229166666665
2020-06-16,15.043854166666668
2020-06-17,12.934791666666667
2020-06-18,15.060416666666667
2020-06-19,13.612083333333333
2020-06-20,14.385625
2020-06-21,10.4475
2020-06-22,12.705729166666666
2020-06-23,15.245833333333332
2020-06-24,18.011770833333333
2020-06-25,18.5728125
2020-06-26,14.3515625
2020-06-27,12.5403125
2020-06-28,12.239479166666667
2020-06-29,13.574791666666668
2020-06-30,16.967604166666668
2020-07-01,20.928645833333334
2020-07-02,16.743750000000002
2020-07-03,34.246249999999996
2020-07-04,29.99625
2020-07-05,19.598854166666666
2020-07-06,23.4978125
2020-07-07,18.4440625
2020-07-08,25.3521875
2020-07-09,15.8371875
2020-07-10,16.9690625
2020-07-11,17.109479166666667
2020-07-12,14.856354166666668
2020-07-13,16.78125
2020-07-14,17.191979166666666
